student_id,gender,q1,q2,q3,q4,q5,q6
S01,女,5,4,5,4,4,5
S02,男,3,2,3,3,2,3
S03,女,5,5,4,5,5,4
S04,男,2,4,2,2,3,2
S05,女,4,4,5,3,4,5
S06,女,5,4,3,5,5,4
S07,男,3,3,2,4,2,2
S08,女,4,5,5,4,4,3
S09,男,2,2,4,2,2,3
S10,女,5,5,5,4,5,4
S11,女,4,3,3,5,4,4
S12,男,3,4,3,3,4,2
S13,女,5,5,4,4,4,5
S14,女,4,3,5,4,2,4
S15,男,2,3,3,2,3,3
S16,女,5,4,5,5,5,4
S17,男,3,3,2,4,3,3
S18,女,4,5,5,3,5,4
S19,女,5,5,4,5,5,5
S20,男,3,2,3,3,2,4
S21,女,4,4,5,4,3,5
S22,男,2,3,2,3,3,2
S23,女,5,5,5,4,4,5
S24,女,4,4,4,4,5,3
S25,男,3,3,3,2,4,3
S26,女,5,4,4,5,5,4
S27,女,4,5,4,3,4,5
S28,男,3,2,3,4,2,3
S29,女,5,5,4,4,5,5
S30,女,4,4,5,5,3,4
