student_id,group,前测,1个月,3个月,6个月
1,实验组,62,70,76,79
2,实验组,58,66,72,75
3,实验组,65,73,78,82
4,实验组,60,69,74,77
5,实验组,63,71,77,80
6,实验组,57,64,70,73
7,实验组,66,74,80,84
8,实验组,61,68,75,78
9,实验组,59,67,73,76
10,实验组,64,72,79,83
11,实验组,56,63,69,72
12,实验组,67,75,81,85
13,实验组,60,68,74,77
14,实验组,62,70,77,80
15,实验组,58,65,71,74
16,对照组,61,63,64,65
17,对照组,59,60,62,62
18,对照组,64,66,67,68
19,对照组,57,58,59,60
20,对照组,63,65,66,67
21,对照组,60,61,63,63
22,对照组,65,67,68,69
23,对照组,58,59,61,61
24,对照组,62,64,65,66
25,对照组,56,57,58,59
26,对照组,66,68,69,70
27,对照组,61,62,64,64
28,对照组,59,60,61,62
29,对照组,63,65,66,67
30,对照组,60,62,63,64
