年收入,受教育年限,年龄,工作经验
9268.59,9.0,36.0,22.6
12117.12,16.0,44.0,21.8
11411.89,15.0,44.0,22.0
11320.12,13.0,38.0,19.2
11228.41,13.0,51.0,30.0
10377.53,17.0,41.0,19.4
11504.08,9.0,24.0,9.8
11781.69,15.0,48.0,27.4
10405.42,11.0,41.0,25.5
14717.72,9.0,43.0,26.8
16425.83,14.0,41.0,20.4
10431.46,18.0,40.0,15.1
8445.85,16.0,25.0,2.6
12672.13,16.0,41.0,17.6
16634.26,16.0,49.0,27.6
8973.05,16.0,32.0,9.8
11805.59,14.0,42.0,20.5
9139.14,10.0,23.0,6.0
11464.77,17.0,33.0,10.3
10566.34,13.0,36.0,17.8
14214.27,14.0,55.0,30.0
7792.32,12.0,29.0,13.9
9427.47,10.0,31.0,15.4
10756.67,18.0,35.0,10.0
15183.25,16.0,55.0,30.0
13452.01,15.0,51.0,30.0
8974.75,13.0,23.0,3.2
11424.23,17.0,29.0,5.6
13944.69,14.0,49.0,28.4
8875.74,13.0,23.0,3.9
13944.73,13.0,51.0,30.0
9843.97,11.0,31.0,14.2
12112.66,9.0,53.0,30.0
10445.46,14.0,31.0,10.0
11043.11,17.0,36.0,11.3
15391.4,9.0,44.0,28.5
11693.58,17.0,26.0,2.9
13000.92,17.0,40.0,18.8
10336.05,11.0,39.0,22.1
12119.31,15.0,48.0,28.0
15361.71,10.0,55.0,30.0
13191.93,16.0,44.0,20.8
11699.4,16.0,35.0,12.0
8031.09,12.0,35.0,16.3
12316.57,9.0,36.0,23.1
14728.06,18.0,49.0,24.2
8644.97,13.0,32.0,13.8
8729.36,17.0,27.0,3.1
11102.36,15.0,33.0,12.9
8554.89,16.0,22.0,0.4
8587.95,16.0,25.0,2.8
8344.88,10.0,25.0,9.0
12943.46,12.0,48.0,29.3
13362.37,13.0,46.0,27.4
15027.64,13.0,45.0,25.5
6877.94,9.0,37.0,20.8
12661.37,14.0,46.0,24.7
9200.48,10.0,27.0,11.2
15023.99,16.0,52.0,30.0
11286.33,15.0,39.0,18.2
12315.68,18.0,53.0,28.9
9981.29,16.0,27.0,5.3
14097.75,12.0,38.0,21.3
11050.53,18.0,45.0,21.2
12686.43,13.0,38.0,18.6
10784.97,12.0,37.0,20.1
9594.46,18.0,27.0,3.4
9134.94,12.0,34.0,17.5
8960.3,9.0,30.0,15.2
12013.13,13.0,32.0,11.8
13854.8,16.0,45.0,21.6
14991.58,10.0,43.0,28.7
14232.96,13.0,42.0,24.7
10987.09,10.0,34.0,17.8
17155.9,15.0,54.0,30.0
9403.86,13.0,24.0,6.5
11434.14,12.0,33.0,13.9
8247.78,11.0,26.0,8.1
10682.02,14.0,33.0,13.6
13493.86,15.0,54.0,30.0
12553.76,18.0,34.0,10.0
12182.54,13.0,52.0,30.0
12384.03,10.0,38.0,22.3
13117.92,17.0,45.0,23.4
13182.74,15.0,37.0,16.1
11478.58,16.0,31.0,9.6
15409.95,9.0,47.0,29.9
15006.16,12.0,54.0,30.0
7610.75,16.0,30.0,7.2
13603.31,17.0,48.0,23.8
7936.61,13.0,30.0,10.1
12622.49,17.0,46.0,22.7
16226.75,17.0,48.0,25.9
11942.13,12.0,37.0,17.7
12600.28,17.0,47.0,24.0
8246.32,11.0,31.0,13.5
8399.85,11.0,24.0,6.7
7250.49,15.0,25.0,5.0
10472.86,15.0,37.0,16.5
13788.01,10.0,52.0,30.0
11054.43,17.0,26.0,2.8
11794.63,10.0,37.0,20.3
9771.2,17.0,45.0,21.8
9515.65,9.0,28.0,13.2
13479.24,16.0,46.0,24.2
10970.71,16.0,32.0,8.9
16400.17,16.0,49.0,27.1
9167.53,15.0,41.0,20.2
11265.44,13.0,40.0,23.5
10771.58,16.0,28.0,7.9
8580.22,11.0,37.0,19.1
16554.44,16.0,51.0,28.7
8626.92,14.0,22.0,0.5
14483.99,13.0,47.0,27.4
10711.46,14.0,38.0,18.3
14535.35,14.0,46.0,27.2
13825.22,9.0,44.0,28.3
11030.82,10.0,36.0,19.3
10123.93,11.0,32.0,12.9
12580.99,10.0,43.0,26.8
