student_id,gender,score,study_hours,study_intensity,pass,anxiety_pre,anxiety_post,reaction_time_ms
1,男,72,3.5,中,1,58.0,53.6,250.43788499109135
2,女,85,5.0,中,1,65.9,53.8,278.73159116789765
3,男,68,2.5,低,0,62.9,52.4,250.95168018346362
4,女,90,6.0,高,1,61.3,49.9,237.06691048610935
5,男,75,4.0,中,1,61.0,55.7,252.61197775182058
6,女,88,5.5,高,1,68.4,58.4,318.7979684954337
7,男,70,3.0,低,0,70.4,63.9,262.20064095283004
8,女,82,4.5,中,1,58.0,51.4,288.48978058429446
9,男,65,2.0,低,0,66.1,56.6,243.49318101732658
10,女,92,6.5,高,1,60.1,49.4,306.84841034920936
11,男,74,3.5,中,0,71.4,62.8,227.77655654411348
12,女,86,5.0,中,1,70.6,64.5,309.53491102619165
13,男,71,3.0,低,0,65.8,60.3,347.6361678138478
14,女,89,5.5,高,1,67.8,55.5,276.7755625136776
15,男,69,2.5,低,0,63.8,54.0,313.5992915617414
16,女,84,4.5,中,1,69.0,58.9,317.4113820018807
17,男,73,3.5,中,0,62.6,48.1,275.41042668325787
18,女,87,5.0,中,1,60.8,55.2,264.4901197870572
19,男,67,2.5,低,0,59.7,44.0,318.60728195240347
20,女,91,6.0,高,1,58.8,41.4,278.97595297905843
21,男,76,4.0,中,1,63.9,51.1,325.82273434815244
22,女,83,4.5,中,1,62.3,51.8,258.4276291001689
23,男,72,3.5,中,0,66.3,60.3,281.72016962173615
24,女,88,5.5,高,1,55.2,44.2,313.5398100878498
25,男,70,3.0,低,0,62.6,55.9,291.1948051908455
26,女,85,5.0,中,1,61.2,53.3,277.19420488687405
27,男,68,2.5,低,0,58.3,51.2,260.0781180267106
28,女,90,6.0,高,1,65.1,56.3,288.76987879257905
29,男,75,4.0,中,1,62.4,50.5,254.38902072027267
30,女,86,5.5,高,1,60.1,53.8,341.26654956609485
