student_id,gender,teaching_method,score
1,男,传统讲授,72
2,男,传统讲授,75
3,男,传统讲授,70
4,男,传统讲授,74
5,男,传统讲授,71
6,男,传统讲授,73
7,男,传统讲授,72
8,男,传统讲授,74
9,男,传统讲授,71
10,男,传统讲授,75
11,男,翻转课堂,88
12,男,翻转课堂,91
13,男,翻转课堂,86
14,男,翻转课堂,90
15,男,翻转课堂,89
16,男,翻转课堂,92
17,男,翻转课堂,87
18,男,翻转课堂,90
19,男,翻转课堂,88
20,男,翻转课堂,91
21,男,混合教学,74
22,男,混合教学,77
23,男,混合教学,75
24,男,混合教学,78
25,男,混合教学,76
26,男,混合教学,73
27,男,混合教学,76
28,男,混合教学,77
29,男,混合教学,75
30,男,混合教学,78
31,女,传统讲授,77
32,女,传统讲授,80
33,女,传统讲授,76
34,女,传统讲授,79
35,女,传统讲授,78
36,女,传统讲授,81
37,女,传统讲授,77
38,女,传统讲授,79
39,女,传统讲授,78
40,女,传统讲授,80
41,女,翻转课堂,79
42,女,翻转课堂,82
43,女,翻转课堂,78
44,女,翻转课堂,81
45,女,翻转课堂,80
46,女,翻转课堂,83
47,女,翻转课堂,79
48,女,翻转课堂,82
49,女,翻转课堂,80
50,女,翻转课堂,81
51,女,混合教学,89
52,女,混合教学,92
53,女,混合教学,88
54,女,混合教学,91
55,女,混合教学,90
56,女,混合教学,93
57,女,混合教学,89
58,女,混合教学,92
59,女,混合教学,90
60,女,混合教学,91
